shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,,,,,A
shishoCode,DbUDD014ShishoCode,DbUDD014ShishoCode,,,,,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,A
ninteiShinseiYMD,UDD015YMD,FlexibleDate,,,,,A
ninteiShinseiEdabanCode,UDD025EdabanCode,EdabanCode,,,,,A
ninteiShinseiShinseijiKubunCode,UDD035Code,Code,,,,,A
ninteiShinseiHoreiKubunCode,UDD035Code,Code,,,,,A
ninteiShinseiYukoKubunCode,UDD035Code,Code,,,,,A
shienShinseiKubun,bpchar,RString,,,,,A
shinseiRiyu,text,RString,,,,,A
zenYokaigoKubunCode,UDD035Code,Code,,,,,A
zenYukoKikan,int2,int,,,,,A
johoteikyoDouiUmuKubun,bool,boolean,,,,,A
ninteichosaIraiRirekiNo,int2,int,,,,,A
ninteichosaShikibetsuCode,UDD035Code,Code,,,,,A
ikenshoIraiRirekiNo,int2,int,,,,,A
kaigoIryokikanCode,varchar,RString,,,,,A
kaigoIshiCode,varchar,RString,,,,,A
minashiCode,bpchar,RString,,,,,A
enkitsuchiDoiUmuKubun,bool,boolean,,,,,A
shisetsuNyushoUmuKubun,bool,boolean,,,,,A
sichosonRenrakuJiko,text,RString,,,,,A
torisageKubunCode,UDD035Code,Code,,,,,A
torisageRiyu,text,RString,,,,,A
torisageYMD,UDD015YMD,FlexibleDate,,,,,A
shinsaKeizokuKubun,bool,boolean,,,,,A
shinsakaiYusenWaritsukeKubunCode,UDD035Code,Code,,,,,A
ifSofuYMD,UDD015YMD,FlexibleDate,,,,,A
